Date,CDS,Spread,Maturity,End Matruty,Z-Spread
04-02-2020,0.153175945,0.180658751,02-04-2020,06-04-2020,0.50%
05-02-2020,0.434788384,0.159017252,03-04-2020,07-04-2020,0.50%
06-02-2020,0.961602848,0.72809526,04-04-2020,08-04-2020,0.50%
07-02-2020,0.21947576,0.628439791,05-04-2020,09-04-2020,0.50%
08-02-2020,0.114465262,0.286805761,06-04-2020,10-04-2020,0.50%
09-02-2020,0.450730473,0.91132199,07-04-2020,11-04-2020,0.50%
10-02-2020,0.700011279,0.100182418,08-04-2020,12-04-2020,0.50%
11-02-2020,0.353194226,0.209684628,09-04-2020,13-04-2020,0.50%
12-02-2020,0.983085751,0.160509835,10-04-2020,14-04-2020,0.50%
13-02-2020,0.872403503,0.75919542,11-04-2020,15-04-2020,0.50%
14-02-2020,0.553367211,0.852580909,12-04-2020,16-04-2020,0.50%
15-02-2020,0.144883979,0.245279293,13-04-2020,17-04-2020,0.50%
16-02-2020,0.347698743,0.444056395,14-04-2020,18-04-2020,0.50%
17-02-2020,0.754440861,0.299339477,15-04-2020,19-04-2020,0.50%
18-02-2020,0.226269576,0.136356847,16-04-2020,20-04-2020,0.50%
19-02-2020,0.503506182,0.333864885,17-04-2020,21-04-2020,0.50%
20-02-2020,0.693131048,0.572514297,18-04-2020,22-04-2020,0.50%
21-02-2020,0.824792542,0.897293833,19-04-2020,23-04-2020,0.50%
22-02-2020,0.011117042,0.139301933,20-04-2020,24-04-2020,0.50%
23-02-2020,0.545813139,0.599357957,21-04-2020,25-04-2020,0.50%
24-02-2020,0.74913117,0.285701284,22-04-2020,26-04-2020,0.50%
25-02-2020,0.781232326,0.240162265,23-04-2020,27-04-2020,0.50%
26-02-2020,0.125737355,0.984544777,24-04-2020,28-04-2020,0.50%
27-02-2020,0.103203863,0.658017964,25-04-2020,29-04-2020,0.50%
28-02-2020,0.104997474,0.15282001,26-04-2020,30-04-2020,0.50%
29-02-2020,0.413826771,0.366136848,27-04-2020,01-05-2020,0.50%
01-03-2020,0.014100381,0.722238177,28-04-2020,02-05-2020,0.50%
02-03-2020,0.15257759,0.396247324,29-04-2020,03-05-2020,0.50%
03-03-2020,0.738051139,0.196141544,30-04-2020,04-05-2020,0.50%
04-03-2020,0.003166876,0.534479626,01-05-2020,05-05-2020,0.50%
05-03-2020,0.150361261,0.498614147,02-05-2020,06-05-2020,0.50%
06-03-2020,0.959130726,0.322548273,03-05-2020,07-05-2020,0.50%
07-03-2020,0.017241943,0.979202855,04-05-2020,08-05-2020,0.50%
08-03-2020,0.021009186,0.477842254,05-05-2020,09-05-2020,0.50%
09-03-2020,0.52067128,0.509319852,06-05-2020,10-05-2020,0.50%
10-03-2020,0.483646079,0.995599235,07-05-2020,11-05-2020,0.50%
11-03-2020,0.22286645,0.337185312,08-05-2020,12-05-2020,0.50%
12-03-2020,0.076675187,0.742899903,09-05-2020,13-05-2020,0.50%
13-03-2020,0.577629259,0.271050588,10-05-2020,14-05-2020,0.50%
14-03-2020,0.308845964,0.345498105,11-05-2020,15-05-2020,0.50%
15-03-2020,0.192210621,0.024151889,12-05-2020,16-05-2020,0.50%
16-03-2020,0.592304616,0.680940481,13-05-2020,17-05-2020,0.50%
17-03-2020,0.437826214,0.607884779,14-05-2020,18-05-2020,0.50%
18-03-2020,0.190114572,0.720738141,15-05-2020,19-05-2020,0.50%
19-03-2020,0.249031376,0.344083912,16-05-2020,20-05-2020,0.50%
20-03-2020,0.32296311,0.629165153,17-05-2020,21-05-2020,0.50%
21-03-2020,0.526182766,0.991285764,18-05-2020,22-05-2020,0.50%
22-03-2020,0.045575665,0.245452772,19-05-2020,23-05-2020,0.50%
23-03-2020,0.03009594,0.113614916,20-05-2020,24-05-2020,0.50%
24-03-2020,0.923597244,0.178742706,21-05-2020,25-05-2020,0.50%
25-03-2020,0.955139132,0.229136113,22-05-2020,26-05-2020,0.50%
26-03-2020,0.560308462,0.683981053,23-05-2020,27-05-2020,0.50%
27-03-2020,0.461903158,0.781649169,24-05-2020,28-05-2020,0.50%
28-03-2020,0.769549747,0.343524489,25-05-2020,29-05-2020,0.50%
29-03-2020,0.626151326,0.270627948,26-05-2020,30-05-2020,0.50%
30-03-2020,0.731769957,0.216613036,27-05-2020,31-05-2020,0.50%
31-03-2020,0.428533536,0.507726018,28-05-2020,01-06-2020,0.50%
01-04-2020,0.711530597,0.959977424,29-05-2020,02-06-2020,0.50%
02-04-2020,0.049724216,0.869780517,30-05-2020,03-06-2020,0.50%
03-04-2020,0.897708811,0.565356734,31-05-2020,04-06-2020,0.50%
04-04-2020,0.522723892,0.648715974,01-06-2020,05-06-2020,0.50%
05-04-2020,0.188916077,0.889547931,02-06-2020,06-06-2020,0.50%
06-04-2020,0.992304887,0.818078077,03-06-2020,07-06-2020,0.50%
07-04-2020,0.47015607,0.474845495,04-06-2020,08-06-2020,0.50%
08-04-2020,0.363641399,0.354568986,05-06-2020,09-06-2020,0.50%
09-04-2020,0.53068338,0.651851012,06-06-2020,10-06-2020,0.50%
10-04-2020,0.987113112,0.708986078,07-06-2020,11-06-2020,0.50%
11-04-2020,0.950202617,0.054980879,08-06-2020,12-06-2020,0.50%
12-04-2020,0.448952922,0.283447566,09-06-2020,13-06-2020,0.50%
13-04-2020,0.986247298,0.697876314,10-06-2020,14-06-2020,0.50%
14-04-2020,0.492316987,0.930717747,11-06-2020,15-06-2020,0.50%
15-04-2020,0.897090242,0.692682046,12-06-2020,16-06-2020,0.50%
16-04-2020,0.308702679,0.391739577,13-06-2020,17-06-2020,0.50%
17-04-2020,0.037688236,0.964722177,14-06-2020,18-06-2020,0.50%
18-04-2020,0.830378292,0.177868058,15-06-2020,19-06-2020,0.50%
19-04-2020,0.233561718,0.07975542,16-06-2020,20-06-2020,0.50%
20-04-2020,0.072994405,0.964468105,17-06-2020,21-06-2020,0.50%
21-04-2020,0.968057994,0.825881302,18-06-2020,22-06-2020,0.50%
22-04-2020,0.528276438,0.970524513,19-06-2020,23-06-2020,0.50%
23-04-2020,0.692226579,0.192233113,20-06-2020,24-06-2020,0.50%
24-04-2020,0.916213853,0.037620489,21-06-2020,25-06-2020,0.50%
25-04-2020,0.230975727,0.934318946,22-06-2020,26-06-2020,0.50%
26-04-2020,0.151450056,0.356122055,23-06-2020,27-06-2020,0.50%
27-04-2020,0.874499152,0.61275715,24-06-2020,28-06-2020,0.50%
28-04-2020,0.869868324,0.711005179,25-06-2020,29-06-2020,0.50%
29-04-2020,0.570335494,0.575708285,26-06-2020,30-06-2020,0.50%
30-04-2020,0.605413279,0.177332376,27-06-2020,01-07-2020,0.50%
01-05-2020,0.880605915,0.425155394,28-06-2020,02-07-2020,0.50%
02-05-2020,0.476623232,0.51072534,29-06-2020,03-07-2020,0.50%
03-05-2020,0.721306898,0.001123595,30-06-2020,04-07-2020,0.50%
04-05-2020,0.80293696,0.334263587,01-07-2020,05-07-2020,0.50%
05-05-2020,0.243760921,0.015794736,02-07-2020,06-07-2020,0.50%
06-05-2020,0.034452706,0.756875999,03-07-2020,07-07-2020,0.50%
07-05-2020,0.538401611,0.670995921,04-07-2020,08-07-2020,0.50%
08-05-2020,0.651601418,0.008180093,05-07-2020,09-07-2020,0.50%
09-05-2020,0.002561195,0.776899335,06-07-2020,10-07-2020,0.50%
10-05-2020,0.83656799,0.457180008,07-07-2020,11-07-2020,0.50%
11-05-2020,0.383472769,0.402328969,08-07-2020,12-07-2020,0.50%
12-05-2020,0.330326575,0.704903896,09-07-2020,13-07-2020,0.50%
13-05-2020,0.763475702,0.296101749,10-07-2020,14-07-2020,0.50%
14-05-2020,0.253976188,0.104938635,11-07-2020,15-07-2020,0.50%
15-05-2020,0.960327461,0.127834305,12-07-2020,16-07-2020,0.50%
16-05-2020,0.511141062,0.366907822,13-07-2020,17-07-2020,0.50%
17-05-2020,0.657295119,0.809779486,14-07-2020,18-07-2020,0.50%
18-05-2020,0.854632527,0.716827766,15-07-2020,19-07-2020,0.50%
19-05-2020,0.795725121,0.639746831,16-07-2020,20-07-2020,0.50%
20-05-2020,0.97413065,0.102892397,17-07-2020,21-07-2020,0.50%
21-05-2020,0.530442309,0.428678548,18-07-2020,22-07-2020,0.50%
22-05-2020,0.555213038,0.259379563,19-07-2020,23-07-2020,0.50%
23-05-2020,0.942437327,0.943430908,20-07-2020,24-07-2020,0.50%
24-05-2020,0.036517326,0.444737082,21-07-2020,25-07-2020,0.50%
25-05-2020,0.473845479,0.447131351,22-07-2020,26-07-2020,0.50%
26-05-2020,0.458993744,0.408113944,23-07-2020,27-07-2020,0.50%
27-05-2020,0.025827751,0.078097661,24-07-2020,28-07-2020,0.50%
28-05-2020,0.631456774,0.301691823,25-07-2020,29-07-2020,0.50%
29-05-2020,0.390732755,0.709350146,26-07-2020,30-07-2020,0.50%
30-05-2020,0.798728754,0.881724773,27-07-2020,31-07-2020,0.50%
31-05-2020,0.56944042,0.338717535,28-07-2020,01-08-2020,0.50%
01-06-2020,0.611393347,0.655551528,29-07-2020,02-08-2020,0.50%
02-06-2020,0.402344524,0.22632405,30-07-2020,03-08-2020,0.50%
03-06-2020,0.591599824,0.207106174,31-07-2020,04-08-2020,0.50%
04-06-2020,0.268026878,0.228081628,01-08-2020,05-08-2020,0.50%
05-06-2020,0.43238487,0.425563273,02-08-2020,06-08-2020,0.50%
06-06-2020,0.980375223,0.437952026,03-08-2020,07-08-2020,0.50%
07-06-2020,0.876957245,0.886193746,04-08-2020,08-08-2020,0.50%
08-06-2020,0.50829131,0.354051284,05-08-2020,09-08-2020,0.50%
09-06-2020,0.478698558,0.700161802,06-08-2020,10-08-2020,0.50%
10-06-2020,0.349686769,0.022331109,07-08-2020,11-08-2020,0.50%
11-06-2020,0.800460587,0.222657731,08-08-2020,12-08-2020,0.50%
12-06-2020,0.286765802,0.69398892,09-08-2020,13-08-2020,0.50%
13-06-2020,0.831657756,0.105608248,10-08-2020,14-08-2020,0.50%
14-06-2020,0.580349761,0.088420738,11-08-2020,15-08-2020,0.50%
15-06-2020,0.102321611,0.84135316,12-08-2020,16-08-2020,0.50%
16-06-2020,0.841801422,0.804486704,13-08-2020,17-08-2020,0.50%
17-06-2020,0.013475747,0.786618051,14-08-2020,18-08-2020,0.50%
18-06-2020,0.601859613,0.446550305,15-08-2020,19-08-2020,0.50%
19-06-2020,0.596593235,0.781643379,16-08-2020,20-08-2020,0.50%
20-06-2020,0.704596981,0.977962925,17-08-2020,21-08-2020,0.50%
21-06-2020,0.343281789,0.448240545,18-08-2020,22-08-2020,0.50%
22-06-2020,0.134207773,0.32096005,19-08-2020,23-08-2020,0.50%
23-06-2020,0.138658455,0.463536196,20-08-2020,24-08-2020,0.50%
24-06-2020,0.015680489,0.193834461,21-08-2020,25-08-2020,0.50%
25-06-2020,0.472111195,0.195268463,22-08-2020,26-08-2020,0.50%
26-06-2020,0.520438041,0.956134002,23-08-2020,27-08-2020,0.50%
27-06-2020,0.249480076,0.703057267,24-08-2020,28-08-2020,0.50%
28-06-2020,0.23728962,0.586413943,25-08-2020,29-08-2020,0.50%
29-06-2020,0.816217039,0.066656205,26-08-2020,30-08-2020,0.50%
30-06-2020,0.311320492,0.257137153,27-08-2020,31-08-2020,0.50%
01-07-2020,0.208186824,0.826138373,28-08-2020,01-09-2020,0.50%
02-07-2020,0.606483849,0.209220177,29-08-2020,02-09-2020,0.50%
03-07-2020,0.255356261,0.226706128,30-08-2020,03-09-2020,0.50%
04-07-2020,0.479310704,0.829620153,31-08-2020,04-09-2020,0.50%
05-07-2020,0.639596115,0.132818228,01-09-2020,05-09-2020,0.50%
06-07-2020,0.655287785,0.675598638,02-09-2020,06-09-2020,0.50%
07-07-2020,0.042690911,0.4620681,03-09-2020,07-09-2020,0.50%
08-07-2020,0.790396958,0.792798032,04-09-2020,08-09-2020,0.50%
09-07-2020,0.024668457,0.42041765,05-09-2020,09-09-2020,0.50%
10-07-2020,0.82524518,0.015231015,06-09-2020,10-09-2020,0.50%
11-07-2020,0.053148234,0.634648667,07-09-2020,11-09-2020,0.50%
12-07-2020,0.836564404,0.422921888,08-09-2020,12-09-2020,0.50%
13-07-2020,0.836130758,0.61165254,09-09-2020,13-09-2020,0.50%
14-07-2020,0.214086372,0.145701305,10-09-2020,14-09-2020,0.50%
15-07-2020,0.196598657,0.057192574,11-09-2020,15-09-2020,0.50%
16-07-2020,0.742375682,0.033135206,12-09-2020,16-09-2020,0.50%
17-07-2020,0.359449809,0.07634891,13-09-2020,17-09-2020,0.50%
18-07-2020,0.299711518,0.972551265,14-09-2020,18-09-2020,0.50%
19-07-2020,0.108585018,0.200464932,15-09-2020,19-09-2020,0.50%
20-07-2020,0.481693117,0.231713628,16-09-2020,20-09-2020,0.50%
21-07-2020,0.874687067,0.477062372,17-09-2020,21-09-2020,0.50%
22-07-2020,0.300250666,0.642272666,18-09-2020,22-09-2020,0.50%
23-07-2020,0.566427582,0.587256967,19-09-2020,23-09-2020,0.50%
24-07-2020,0.226342441,0.010905068,20-09-2020,24-09-2020,0.50%
25-07-2020,0.993116646,0.200455966,21-09-2020,25-09-2020,0.50%
26-07-2020,0.640135563,0.269869478,22-09-2020,26-09-2020,0.50%
27-07-2020,0.541959776,0.751554576,23-09-2020,27-09-2020,0.50%
28-07-2020,0.574252952,0.80713987,24-09-2020,28-09-2020,0.50%
29-07-2020,0.691057871,0.255978635,25-09-2020,29-09-2020,0.50%
30-07-2020,0.400849565,0.98761566,26-09-2020,30-09-2020,0.50%
31-07-2020,0.130083632,0.116215882,27-09-2020,01-10-2020,0.50%
01-08-2020,0.254397724,0.705305917,28-09-2020,02-10-2020,0.50%
02-08-2020,0.166969131,0.752109919,29-09-2020,03-10-2020,0.50%
03-08-2020,0.776063138,0.581438424,30-09-2020,04-10-2020,0.50%
04-08-2020,0.593149956,0.780118315,01-10-2020,05-10-2020,0.50%
05-08-2020,0.694828257,0.42669045,02-10-2020,06-10-2020,0.50%
06-08-2020,0.707832382,0.197161023,03-10-2020,07-10-2020,0.50%
07-08-2020,0.89396752,0.374605763,04-10-2020,08-10-2020,0.50%
08-08-2020,0.052840552,0.197700339,05-10-2020,09-10-2020,0.50%
09-08-2020,0.011939039,0.815006162,06-10-2020,10-10-2020,0.50%
10-08-2020,0.864974903,0.953276087,07-10-2020,11-10-2020,0.50%
11-08-2020,0.919316085,0.819046293,08-10-2020,12-10-2020,0.50%
12-08-2020,0.732880056,0.595952927,09-10-2020,13-10-2020,0.50%
